id,new_date,hour,load_kW,demand_kWh,supply_kWh,net_kWh
58043,2022-11-08,9,30.08,3.45,1.05,-2.4
58052,2022-11-08,10,19.11,9.01,0.03,-8.98
58062,2022-10-11,1,5.97,6.28,0,-6.28
58070,2022-10-11,2,7.49,6.39,0,-6.39
58079,2022-10-11,3,6.95,6.95,0,-6.95
58088,2022-10-11,4,6.45,6.59,0,-6.59
58097,2022-10-11,5,6.02,6.57,0,-6.57
58106,2022-10-11,6,5.77,5.51,0,-5.51
58115,2022-10-11,7,5.59,4.8,0,-4.8
58124,2022-10-11,8,11.3,1.41,0.4,-1.01
58133,2022-10-11,9,38.08,11.06,0.24,-10.82
58142,2022-11-08,11,36.22,5.35,0,-5.35
58151,2022-10-11,10,33.95,22.06,0,-22.06
58160,2022-10-11,11,37.16,19.3,0,-19.3
58169,2022-10-11,12,37.33,17.48,0.03,-17.45
58178,2022-10-11,13,51.61,27.08,0,-27.08
58187,2022-10-11,14,32.34,22.55,0,-22.55
58196,2022-10-11,15,36.81,24.56,0,-24.56
58214,2022-10-11,16,36.18,26.36,0,-26.36
58223,2022-10-11,17,36.62,30.28,0,-30.28
58232,2022-10-11,18,2.42,22.3,0,-22.3
58241,2022-10-11,19,5.8,9.11,0,-9.11
58250,2022-10-11,20,7.36,7.86,0,-7.86
58259,2022-10-11,21,7.35,7.43,0,-7.43
58268,2022-10-11,22,7.56,7.39,0,-7.39
58277,2022-10-11,23,7.39,7.22,0,-7.22
58286,2022-11-08,12,32.55,11.34,0,-11.34
58296,2022-11-08,13,42.78,20.1,0,-20.1
58304,2022-11-08,14,37.37,25.28,0,-25.28
58313,2022-10-12,1,7.63,7.3,0,-7.3
58322,2022-10-12,2,6.43,7.23,0,-7.23
58331,2022-10-12,3,6.9,6.82,0,-6.82
58340,2022-10-12,4,7.09,6.7,0,-6.7
58349,2022-10-12,5,6.97,6.64,0,-6.64
58358,2022-10-12,6,6.54,5.92,0,-5.92
58367,2022-10-12,7,7.77,4.61,0,-4.61
58376,2022-10-12,8,14.36,1.1,0.59,-0.51
58385,2022-10-12,9,22.87,3.51,1.12,-2.39
58394,2022-10-12,10,35.21,19.28,0,-19.28
58403,2022-10-12,11,29.1,21.91,0.07,-21.84
58412,2022-10-12,12,48.44,32.72,0.11,-32.61
58421,2022-10-12,13,39.63,20.33,0,-20.33
58430,2022-10-12,14,36.31,21.23,0,-21.23
58439,2022-10-13,1,10.62,11.08,0,-11.08
58448,2022-10-13,2,11.02,10.84,0,-10.84
58457,2022-10-13,3,10.16,10.58,0,-10.58
58475,2022-10-13,4,9.77,10.2,0,-10.2
58484,2022-10-13,5,9.89,10.1,0,-10.1
58493,2022-10-13,18,9.13,10.75,0,-10.75
58502,2022-11-08,15,40.91,26.97,0,-26.97
58511,2022-10-13,11,19.82,16.8,0.01,-16.79
58520,2022-10-13,12,20.99,3.67,1.68,-1.99
58529,2022-10-13,16,18.64,15.35,0,-15.35
58538,2022-10-13,17,14.74,14.99,0,-14.99
58547,2022-10-14,12,32.22,0.02,12.12,12.1
58553,2022-10-14,16,8.66,0.64,3.45,2.81
58559,2022-10-14,17,9.77,3.14,0.13,-3.01
58568,2022-10-14,18,6.84,6.19,0,-6.19
58577,2022-10-14,8,10.56,2.92,0.23,-2.69
58586,2022-10-14,3,7.11,7.22,0,-7.22
58595,2022-10-14,6,4.28,6.06,0,-6.06
58604,2022-10-15,2,6.96,6.75,0,-6.75
58613,2022-10-16,3,4.86,6.08,0,-6.08
58622,2022-10-17,7,4.58,4.49,0,-4.49
58628,2022-10-17,17,37,30.31,0,-30.31
58634,2022-10-18,9,28.63,5.16,1.51,-3.65
58643,2022-10-18,12,49.6,27.24,0,-27.24
58652,2022-10-21,12,33.2,11.94,0,-11.94
58661,2022-10-21,9,21.78,4.79,1.5,-3.29
58670,2022-10-21,2,6.3,6.47,0,-6.47
58679,2022-10-21,4,6.51,6.12,0,-6.12
58688,2022-10-21,14,41.63,25.33,0,-25.33
58697,2022-10-21,16,32.73,22.49,0,-22.49
58706,2022-11-08,16,44.03,27.84,0,-27.84
58715,2022-10-21,19,7.46,10.22,0,-10.22
58724,2022-10-22,2,6.82,6.74,0,-6.74
58733,2022-10-22,4,6.85,6.8,0,-6.8
58742,2022-10-22,5,6.41,6.64,0,-6.64
58751,2022-10-22,6,4.86,6.43,0,-6.43
58760,2022-10-22,10,29.07,0,11.61,11.61
58769,2022-10-22,12,6.53,1.57,0.24,-1.33
58778,2022-10-22,13,14.1,3.47,2.91,-0.56
58787,2022-10-22,14,12.72,3.88,0.87,-3.01
58796,2022-10-22,16,11.87,4,0.71,-3.29
58805,2022-10-23,2,6.34,6.61,0,-6.61
58814,2022-10-23,3,6.58,6.78,0,-6.78
58823,2022-10-23,4,5.81,6.4,0,-6.4
58832,2022-10-23,5,5.89,6.22,0,-6.22
58841,2022-10-23,6,5.52,5.67,0,-5.67
58850,2022-10-23,10,13.22,0,9.08,9.08
58859,2022-10-23,11,16.15,0.03,2.52,2.49
58868,2022-10-23,13,34.14,0.05,13.5,13.45
58877,2022-10-23,18,9.16,10.3,0,-10.3
58886,2022-10-24,2,6.35,6.56,0,-6.56
58895,2022-10-24,3,6.13,6.44,0,-6.44
58904,2022-10-24,4,5.91,6.19,0,-6.19
58913,2022-10-24,5,7.17,6.22,0,-6.22
58922,2022-11-08,17,27.4,34.78,0,-34.78
58931,2022-10-24,7,3.08,4.39,0,-4.39
58940,2022-10-24,8,15.11,0.45,1.78,1.33
58949,2022-10-24,10,32.5,0,13.17,13.17
58958,2022-10-24,12,30.18,0,13.57,13.57
58967,2022-10-24,14,23.57,0,8,8
58976,2022-10-24,18,8.09,9.28,0,-9.28
