,datetime,nat_demand,date,newdate,newtime,y,m,d
202,2015-01-11 11:00:00,1070.3791,2015-01-11 11:00:00,2015-01-11,11:00:00,2015,1,11
203,2015-01-11 12:00:00,1070.603,2015-01-11 12:00:00,2015-01-11,12:00:00,2015,1,11
204,2015-01-11 13:00:00,1073.1479,2015-01-11 13:00:00,2015-01-11,13:00:00,2015,1,11
205,2015-01-11 14:00:00,1064.0288,2015-01-11 14:00:00,2015-01-11,14:00:00,2015,1,11
206,2015-01-11 15:00:00,1060.6283,2015-01-11 15:00:00,2015-01-11,15:00:00,2015,1,11
207,2015-01-11 16:00:00,1030.8882,2015-01-11 16:00:00,2015-01-11,16:00:00,2015,1,11
208,2015-01-11 17:00:00,1015.4938,2015-01-11 17:00:00,2015-01-11,17:00:00,2015,1,11
209,2015-01-11 18:00:00,1073.743,2015-01-11 18:00:00,2015-01-11,18:00:00,2015,1,11
210,2015-01-11 19:00:00,1113.4443,2015-01-11 19:00:00,2015-01-11,19:00:00,2015,1,11
211,2015-01-11 20:00:00,1122.2487,2015-01-11 20:00:00,2015-01-11,20:00:00,2015,1,11
212,2015-01-11 21:00:00,1095.6601,2015-01-11 21:00:00,2015-01-11,21:00:00,2015,1,11
213,2015-01-11 22:00:00,1046.8138,2015-01-11 22:00:00,2015-01-11,22:00:00,2015,1,11
214,2015-01-11 23:00:00,1010.9126,2015-01-11 23:00:00,2015-01-11,23:00:00,2015,1,11
215,2015-01-12 00:00:00,968.9371,2015-01-12 00:00:00,2015-01-12,00:00:00,2015,1,12
216,2015-01-12 01:00:00,941.5469,2015-01-12 01:00:00,2015-01-12,01:00:00,2015,1,12
217,2015-01-12 02:00:00,898.3399,2015-01-12 02:00:00,2015-01-12,02:00:00,2015,1,12
218,2015-01-12 03:00:00,881.8438,2015-01-12 03:00:00,2015-01-12,03:00:00,2015,1,12
219,2015-01-12 04:00:00,870.5737,2015-01-12 04:00:00,2015-01-12,04:00:00,2015,1,12
220,2015-01-12 05:00:00,876.8468,2015-01-12 05:00:00,2015-01-12,05:00:00,2015,1,12
221,2015-01-12 06:00:00,903.8017,2015-01-12 06:00:00,2015-01-12,06:00:00,2015,1,12
222,2015-01-12 07:00:00,1018.3418,2015-01-12 07:00:00,2015-01-12,07:00:00,2015,1,12
223,2015-01-12 08:00:00,1228.567,2015-01-12 08:00:00,2015-01-12,08:00:00,2015,1,12
224,2015-01-12 09:00:00,1317.0702,2015-01-12 09:00:00,2015-01-12,09:00:00,2015,1,12
225,2015-01-12 10:00:00,1413.0273,2015-01-12 10:00:00,2015-01-12,10:00:00,2015,1,12
226,2015-01-12 11:00:00,1452.004,2015-01-12 11:00:00,2015-01-12,11:00:00,2015,1,12
227,2015-01-12 12:00:00,1439.2499,2015-01-12 12:00:00,2015-01-12,12:00:00,2015,1,12
228,2015-01-12 13:00:00,1468.9201,2015-01-12 13:00:00,2015-01-12,13:00:00,2015,1,12
229,2015-01-12 14:00:00,1466.2352,2015-01-12 14:00:00,2015-01-12,14:00:00,2015,1,12
230,2015-01-12 15:00:00,1420.9684,2015-01-12 15:00:00,2015-01-12,15:00:00,2015,1,12
231,2015-01-12 16:00:00,1352.0557,2015-01-12 16:00:00,2015-01-12,16:00:00,2015,1,12
232,2015-01-12 17:00:00,1218.532,2015-01-12 17:00:00,2015-01-12,17:00:00,2015,1,12
233,2015-01-12 18:00:00,1214.6585,2015-01-12 18:00:00,2015-01-12,18:00:00,2015,1,12
234,2015-01-12 19:00:00,1247.0384,2015-01-12 19:00:00,2015-01-12,19:00:00,2015,1,12
235,2015-01-12 20:00:00,1196.3554,2015-01-12 20:00:00,2015-01-12,20:00:00,2015,1,12
236,2015-01-12 21:00:00,1179.6993,2015-01-12 21:00:00,2015-01-12,21:00:00,2015,1,12
237,2015-01-12 22:00:00,1113.0861,2015-01-12 22:00:00,2015-01-12,22:00:00,2015,1,12
238,2015-01-12 23:00:00,1069.6154,2015-01-12 23:00:00,2015-01-12,23:00:00,2015,1,12
239,2015-01-13 00:00:00,1008.6023,2015-01-13 00:00:00,2015-01-13,00:00:00,2015,1,13
240,2015-01-13 01:00:00,963.507,2015-01-13 01:00:00,2015-01-13,01:00:00,2015,1,13
