id,name,new_date,new_datetime,hour,demand_kWh,supply_kWh
284,350kW,2021-12-08,2021-12-08 23:03:23,23,0,0
285,NDIR-SERT,2021-12-08,2021-12-08 23:03:23,23,5.32,0
286,SEPCON LAB,2021-12-08,2021-12-08 23:03:23,23,0.97,0
287,SGTECH,2021-12-08,2021-12-08 23:03:23,23,0.63,0
288,TESTING,2021-12-08,2021-12-08 23:03:23,23,0.5,0
289,TBat,2021-12-08,2021-12-08 23:03:23,23,0,0
290,APST,2021-12-08,2021-12-08 23:03:23,23,0.55,0
300,NDIR-SERT,2021-12-09,2021-12-09 01:03:23,1,5.18,0
301,SIMINAR,2021-12-09,2021-12-09 01:03:23,1,0.02,0
302,120kW,2021-12-09,2021-12-09 01:03:23,1,0,0
303,350kW,2021-12-09,2021-12-09 01:03:23,1,0,0
304,SEPCON LAB,2021-12-09,2021-12-09 01:03:23,1,1.01,0
305,TESTING,2021-12-09,2021-12-09 01:03:23,1,0.51,0
306,TBat,2021-12-09,2021-12-09 01:03:23,1,0,0
307,APST,2021-12-09,2021-12-09 01:03:23,1,0.53,0
308,SGTECH,2021-12-09,2021-12-09 01:03:23,1,0.65,0
309,350kW,2021-12-09,2021-12-09 02:03:23,2,0,0
310,NDIR-SERT,2021-12-09,2021-12-09 02:03:23,2,5.09,0
311,120kW,2021-12-09,2021-12-09 02:03:23,2,0,0
312,SIMINAR,2021-12-09,2021-12-09 02:03:23,2,0.02,0
313,SGTECH,2021-12-09,2021-12-09 02:03:23,2,0.61,0
314,SEPCON LAB,2021-12-09,2021-12-09 02:03:23,2,0.98,0
315,TESTING,2021-12-09,2021-12-09 02:03:23,2,0.5,0
316,APST,2021-12-09,2021-12-09 02:03:23,2,0.57,0
317,TBat,2021-12-09,2021-12-09 02:03:23,2,0,0
318,SIMINAR,2021-12-09,2021-12-09 03:03:23,3,0.03,0
319,120kW,2021-12-09,2021-12-09 03:03:23,3,0,0
320,NDIR-SERT,2021-12-09,2021-12-09 03:03:23,3,5.16,0
321,350kW,2021-12-09,2021-12-09 03:03:23,3,0,0
322,TESTING,2021-12-09,2021-12-09 03:03:23,3,0.5,0
323,APST,2021-12-09,2021-12-09 03:03:23,3,0.56,0
324,SEPCON LAB,2021-12-09,2021-12-09 03:03:23,3,0.97,0
325,SGTECH,2021-12-09,2021-12-09 03:03:23,3,0.75,0
326,TBat,2021-12-09,2021-12-09 03:03:23,3,0,0
327,120kW,2021-12-09,2021-12-09 04:03:23,4,0,0
328,350kW,2021-12-09,2021-12-09 04:03:23,4,0,0
329,NDIR-SERT,2021-12-09,2021-12-09 04:03:23,4,4.91,0
330,SGTECH,2021-12-09,2021-12-09 04:03:23,4,0.67,0
331,SIMINAR,2021-12-09,2021-12-09 04:03:23,4,0.01,0
332,SEPCON LAB,2021-12-09,2021-12-09 04:03:23,4,1,0
333,TESTING,2021-12-09,2021-12-09 04:03:23,4,0.48,0
334,TBat,2021-12-09,2021-12-09 04:03:24,4,0,0
335,APST,2021-12-09,2021-12-09 04:03:24,4,0.51,0
336,SGTECH,2021-12-09,2021-12-09 05:03:23,5,0.64,0
337,350kW,2021-12-09,2021-12-09 05:03:23,5,0,0
338,SIMINAR,2021-12-09,2021-12-09 05:03:23,5,0.02,0
339,NDIR-SERT,2021-12-09,2021-12-09 05:03:23,5,4.95,0
340,120kW,2021-12-09,2021-12-09 05:03:24,5,0,0
341,SEPCON LAB,2021-12-09,2021-12-09 05:03:24,5,1.1,0
342,APST,2021-12-09,2021-12-09 05:03:24,5,0.59,0
343,TESTING,2021-12-09,2021-12-09 05:03:24,5,0.51,0
344,TBat,2021-12-09,2021-12-09 05:03:24,5,-212.85,186685.33
345,NDIR-SERT,2021-12-09,2021-12-09 06:03:24,6,5.07,0
346,SIMINAR,2021-12-09,2021-12-09 06:03:24,6,0.02,0
347,350kW,2021-12-09,2021-12-09 06:03:24,6,0,0
348,120kW,2021-12-09,2021-12-09 06:03:24,6,0,0
349,SGTECH,2021-12-09,2021-12-09 06:03:24,6,0.62,0
350,SEPCON LAB,2021-12-09,2021-12-09 06:03:24,6,1.07,0
