date,new_date,hour,load_kW,demand(kWh),supply(kWh),net_kWh,Wind,Condition,temperature(°F),dew_point(°F),humidity(%),wind_speed(°mph),wind_gust(°mph),pressure(°in),precip(°in),time_idx,group,wind_direction,weather_condition,hour_group,work_time,holiday,weekend,workday
2022-08-01,8/1/2022,9,12.22,0.62,1.79,1.17,VAR,Fair,77.0,64.0,65.0,2.0,0.0,29.87,0.0,103,a,0,0.0,0,1,1,1,1
2022-08-01,8/1/2022,10,25.29,0.0,6.53,6.53,VAR,Fair,81.0,63.0,54.0,2.0,0.0,29.87,0.0,104,a,0,0.0,0,1,1,1,1
2022-08-01,8/1/2022,11,29.66,0.0,6.23,6.23,S,Fair,84.0,61.0,45.0,5.0,0.0,29.84,0.0,105,a,17,0.0,0,1,1,1,1
2022-08-01,8/1/2022,12,23.59,0.0,6.15,6.15,S,Fair,86.0,64.0,48.0,5.0,0.0,29.81,0.0,106,a,17,0.0,0,1,1,1,1
2022-08-01,8/1/2022,13,26.27,0.02,5.67,5.65,SSW,Fair,88.0,63.0,43.0,5.0,0.0,29.78,0.0,107,a,16,0.0,1,1,1,1,1
2022-08-01,8/1/2022,14,26.74,1.1,3.05,1.95,VAR,Fair,88.0,61.0,40.0,3.0,0.0,29.73,0.0,108,a,0,0.0,1,1,1,1,1
2022-08-01,8/1/2022,15,15.31,5.4,0.03,-5.37,WSW,Fair,88.0,59.0,38.0,5.0,0.0,29.73,0.0,109,a,6,0.0,1,1,1,1,1
2022-08-01,8/1/2022,16,17.02,5.02,0.04,-4.98,W,Fair,90.0,57.0,33.0,6.0,0.0,29.7,0.0,110,a,7,0.0,1,1,1,1,1
2022-08-01,8/1/2022,17,9.18,7.13,0.0,-7.13,W,Fair,88.0,57.0,35.0,5.0,0.0,29.7,0.0,111,a,7,0.0,1,1,1,1,1
2022-08-01,8/1/2022,18,0.0,8.98,0.0,-8.98,NNW,Fair,82.0,64.0,54.0,1.0,0.0,29.73,0.0,112,a,8,0.0,1,0,1,1,1
2022-08-01,8/1/2022,19,13.46,11.0,0.0,-11.0,VAR,Fair,79.0,66.0,65.0,1.0,0.0,29.73,0.0,113,a,0,0.0,1,0,1,1,1
2022-08-01,8/1/2022,20,4.77,9.81,0.0,-9.81,CALM,Fair,77.0,66.0,69.0,0.0,0.0,29.75,0.0,114,a,9,0.0,1,0,1,1,1
2022-09-01,9/1/2022,6,5.82,5.9,0.0,-5.9,ENE,Fair,66.0,64.0,94.0,2.0,0.0,29.73,0.0,115,a,2,0.0,0,0,1,1,1
2022-09-01,9/1/2022,7,7.0,4.85,0.0,-4.85,VAR,Fair,66.0,64.0,94.0,2.0,0.0,29.75,0.0,116,a,0,0.0,0,0,1,1,1
2022-09-01,9/1/2022,8,5.51,3.05,0.03,-3.02,VAR,Fair,72.0,66.0,83.0,1.0,0.0,29.78,0.0,117,a,0,0.0,0,1,1,1,1
2022-09-01,9/1/2022,9,14.79,0.28,2.25,1.97,VAR,Fair,75.0,66.0,73.0,2.0,0.0,29.81,0.0,118,a,0,0.0,0,1,1,1,1
2022-09-01,9/1/2022,10,24.62,0.0,6.43,6.43,E,Fair,81.0,64.0,58.0,3.0,0.0,29.81,0.0,119,a,12,0.0,0,1,1,1,1
2022-09-01,9/1/2022,11,23.57,0.0,6.37,6.37,VAR,Fair,84.0,64.0,51.0,2.0,0.0,29.78,0.0,120,a,0,0.0,0,1,1,1,1
2022-09-01,9/1/2022,12,26.27,0.02,5.44,5.42,SW,Fair,86.0,64.0,48.0,6.0,0.0,29.75,0.0,121,a,14,0.0,0,1,1,1,1
2022-09-01,9/1/2022,13,23.81,0.02,4.38,4.36,VAR,Fair,88.0,63.0,43.0,2.0,0.0,29.73,0.0,122,a,0,0.0,1,1,1,1,1
2022-09-01,9/1/2022,14,21.36,0.26,3.47,3.21,WSW,Fair,90.0,61.0,38.0,6.0,0.0,29.67,0.0,123,a,6,0.0,1,1,1,1,1
2022-09-01,9/1/2022,15,16.94,1.04,1.19,0.15,W,Fair,90.0,63.0,40.0,3.0,0.0,29.67,0.0,124,a,7,0.0,1,1,1,1,1
2022-09-01,9/1/2022,16,13.14,3.32,0.14,-3.18,W,Fair,90.0,61.0,38.0,6.0,0.0,29.67,0.0,125,a,7,0.0,1,1,1,1,1
2022-09-01,9/1/2022,17,9.07,6.28,0.0,-6.28,W,Fair,88.0,61.0,40.0,6.0,0.0,29.67,0.0,126,a,7,0.0,1,1,1,1,1
2022-09-01,9/1/2022,18,0.0,10.08,0.0,-10.08,W,Fair,84.0,61.0,45.0,3.0,0.0,29.67,0.0,127,a,7,0.0,1,0,1,1,1
2022-09-01,9/1/2022,19,11.81,11.63,0.0,-11.63,WNW,Fair,79.0,63.0,57.0,1.0,0.0,29.7,0.0,128,a,5,0.0,1,0,1,1,1
2022-09-01,9/1/2022,20,10.84,10.65,0.0,-10.65,CALM,Fair,77.0,64.0,65.0,0.0,0.0,29.7,0.0,129,a,9,0.0,1,0,1,1,1
2022-10-01,10/1/2022,6,5.5,5.78,0.0,-5.78,VAR,Fair,68.0,66.0,94.0,1.0,0.0,29.73,0.0,130,a,0,0.0,0,0,1,0,0
2022-10-01,10/1/2022,7,2.7,4.78,0.0,-4.78,NNW,Fair,68.0,66.0,94.0,1.0,0.0,29.75,0.0,131,a,8,0.0,0,0,1,0,0
2022-10-01,10/1/2022,8,5.51,4.69,0.0,-4.69,VAR,Fair,72.0,66.0,83.0,2.0,0.0,29.78,0.0,132,a,0,0.0,0,1,1,0,0
2022-10-01,10/1/2022,9,13.89,6.16,0.02,-6.14,VAR,Fair,77.0,66.0,69.0,2.0,0.0,29.81,0.0,133,a,0,0.0,0,1,1,0,0
2022-10-01,10/1/2022,10,18.46,4.77,0.36,-4.41,VAR,Fair,82.0,66.0,58.0,2.0,0.0,29.81,0.0,134,a,0,0.0,0,1,1,0,0
2022-10-01,10/1/2022,11,19.75,1.73,1.46,-0.27,VAR,Fair,86.0,64.0,48.0,2.0,0.0,29.78,0.0,135,a,0,0.0,0,1,1,0,0
2022-10-01,10/1/2022,12,22.77,2.55,1.26,-1.29,S,Fair,86.0,64.0,48.0,6.0,0.0,29.75,0.0,136,a,17,0.0,0,1,1,0,0
2022-10-01,10/1/2022,13,34.39,10.34,0.02,-10.32,S,Fair,90.0,63.0,40.0,3.0,0.0,29.73,0.0,137,a,17,0.0,1,1,1,0,0
2022-10-01,10/1/2022,14,45.46,20.95,0.0,-20.95,SW,Fair,90.0,63.0,40.0,7.0,0.0,29.7,0.0,138,a,14,0.0,1,1,1,0,0
2022-10-01,10/1/2022,15,40.64,28.46,0.0,-28.46,S,Fair,91.0,59.0,34.0,6.0,0.0,29.7,0.0,139,a,17,0.0,1,1,1,0,0
2022-10-01,10/1/2022,16,32.02,29.42,0.0,-29.42,S,Fair,91.0,61.0,36.0,5.0,0.0,29.67,0.0,140,a,17,0.0,1,1,1,0,0
2022-10-01,10/1/2022,17,27.85,27.64,0.0,-27.64,SSE,Fair,90.0,63.0,40.0,5.0,0.0,29.67,0.0,141,a,13,0.0,1,1,1,0,0
2022-10-01,10/1/2022,18,0.0,23.05,0.0,-23.05,E,Fair,84.0,64.0,51.0,1.0,0.0,29.7,0.0,142,a,12,0.0,1,0,1,0,0
2022-10-01,10/1/2022,19,17.96,19.73,0.0,-19.73,CALM,Fair,79.0,64.0,61.0,0.0,0.0,29.73,0.0,143,a,9,0.0,1,0,1,0,0
2022-10-01,10/1/2022,20,16.35,14.82,0.0,-14.82,N,Fair,75.0,66.0,73.0,1.0,0.0,29.73,0.0,144,a,10,0.0,1,0,1,0,0
2022-11-01,11/1/2022,6,4.2,5.94,0.0,-5.94,VAR,Fair,64.0,64.0,100.0,1.0,0.0,29.75,0.0,145,a,0,0.0,0,0,1,1,1
